Date,Revenue,Day of Month,Month,Year,Day of Week,Week of Year
2/13/2021,5188.60,0.977274902,-0.499997879,2021,0.444357246,0.354294947
2/16/2021,1345.27,0.995043654,-0.499997879,2021,0.779402766,0.41006014
2/18/2021,3496.29,0.95281933,-0.499997879,2021,0.97662784,0.41006014
2/19/2021,5854.86,0.915999649,-0.499997879,2021,0.787851543,0.41006014
2/20/2021,7517.34,0.869205224,-0.499997879,2021,0.444357246,0.41006014
2/23/2021,3156.50,0.674577822,-0.499997879,2021,0.779402766,0.464331802
2/24/2021,2095.57,0.593976379,-0.499997879,2021,0.973614316,0.464331802
2/25/2021,4791.98,0.506906852,-0.499997879,2021,0.97662784,0.464331802
2/26/2021,6707.30,0.414317381,-0.499997879,2021,0.787851543,0.464331802
2/27/2021,8001.91,0.317216216,-0.499997879,2021,0.444357246,0.464331802
3/1/2021,0.00,0.104210454,3.67E-06,2021,0.432132383,0.516912264
3/2/2021,4758.10,0.207286113,3.67E-06,2021,0.779402766,0.516912264
3/3/2021,4351.81,0.308104537,3.67E-06,2021,0.973614316,0.516912264
3/4/2021,5350.71,0.405567867,3.67E-06,2021,0.97662784,0.516912264
3/5/2021,8607.85,0.498614781,3.67E-06,2021,0.787851543,0.516912264
3/6/2021,10689.72,0.586232048,3.67E-06,2021,0.444357246,0.516912264
3/8/2021,0.00,0.741430732,3.67E-06,2021,0.432132383,0.567610016
3/9/2021,4830.32,0.807322121,3.67E-06,2021,0.779402766,0.567610016
3/10/2021,5276.38,0.864422204,3.67E-06,2021,0.973614316,0.567610016
3/11/2021,4718.43,0.912109192,3.67E-06,2021,0.97662784,0.567610016
3/12/2021,6901.86,0.949863801,3.67E-06,2021,0.787851543,0.567610016
3/13/2021,8728.13,0.977274902,3.67E-06,2021,0.444357246,0.567610016
3/15/2021,0.00,0.999988498,3.67E-06,2021,0.432132383,0.616240406
3/16/2021,5724.54,0.995043654,3.67E-06,2021,0.779402766,0.616240406
3/17/2021,3915.10,0.979263318,3.67E-06,2021,0.973614316,0.616240406
3/18/2021,5423.96,0.95281933,3.67E-06,2021,0.97662784,0.616240406
3/19/2021,8760.75,0.915999649,3.67E-06,2021,0.787851543,0.616240406
3/20/2021,10155.96,0.869205224,3.67E-06,2021,0.444357246,0.616240406
3/22/2021,0.00,0.747833474,3.67E-06,2021,0.432132383,0.66262631
3/23/2021,5538.14,0.674577822,3.67E-06,2021,0.779402766,0.66262631
3/24/2021,3352.33,0.593976379,3.67E-06,2021,0.973614316,0.66262631
3/25/2021,5451.07,0.506906852,3.67E-06,2021,0.97662784,0.66262631
3/26/2021,10973.21,0.414317381,3.67E-06,2021,0.787851543,0.66262631
3/27/2021,12303.56,0.317216216,3.67E-06,2021,0.444357246,0.66262631
3/29/2021,0.00,0.113745938,3.67E-06,2021,0.432132383,0.706598781
3/30/2021,6226.03,0.009592506,3.67E-06,2021,0.779402766,0.706598781
3/31/2021,3666.56,-0.094665382,3.67E-06,2021,0.973614316,0.706598781
4/1/2021,6912.70,0.104210454,0.500004241,2021,0.97662784,0.706598781
4/2/2021,10537.09,0.207286113,0.500004241,2021,0.787851543,0.706598781
4/3/2021,6820.47,0.308104537,0.500004241,2021,0.444357246,0.706598781
4/6/2021,6430.81,0.586232048,0.500004241,2021,0.779402766,0.747997661
4/7/2021,3512.54,0.667465561,0.500004241,2021,0.973614316,0.747997661
4/8/2021,6294.73,0.741430732,0.500004241,2021,0.97662784,0.747997661
4/9/2021,10550.42,0.807322121,0.500004241,2021,0.787851543,0.747997661
4/10/2021,15096.72,0.864422204,0.500004241,2021,0.444357246,0.747997661
4/13/2021,4959.63,0.977274902,0.500004241,2021,0.779402766,0.786672166
4/14/2021,4026.90,0.994044003,0.500004241,2021,0.973614316,0.786672166
4/15/2021,5088.29,0.999988498,0.500004241,2021,0.97662784,0.786672166
4/16/2021,17619.42,0.995043654,0.500004241,2021,0.787851543,0.786672166
4/17/2021,24045.50,0.979263318,0.500004241,2021,0.444357246,0.786672166
4/20/2021,9033.90,0.869205224,0.500004241,2021,0.779402766,0.822481436
4/21/2021,5038.47,0.81294562,0.500004241,2021,0.973614316,0.822481436
4/22/2021,4181.75,0.747833474,0.500004241,2021,0.97662784,0.822481436
4/23/2021,8421.39,0.674577822,0.500004241,2021,0.787851543,0.822481436
4/24/2021,16046.13,0.593976379,0.500004241,2021,0.444357246,0.822481436
4/27/2021,4471.35,0.317216216,0.500004241,2021,0.779402766,0.855295044
4/28/2021,3815.49,0.216660737,0.500004241,2021,0.973614316,0.855295044
4/29/2021,7279.94,0.113745938,0.500004241,2021,0.97662784,0.855295044
4/30/2021,12824.95,0.009592506,0.500004241,2021,0.787851543,0.855295044
5/1/2021,11907.86,0.104210454,0.866028465,2021,0.444357246,0.855295044
5/4/2021,5452.61,0.405567867,0.866028465,2021,0.779402766,0.884993476
5/5/2021,6534.22,0.498614781,0.866028465,2021,0.973614316,0.884993476
5/6/2021,9321.25,0.586232048,0.866028465,2021,0.97662784,0.884993476
5/7/2021,10823.56,0.667465561,0.866028465,2021,0.787851543,0.884993476
5/8/2021,15177.39,0.741430732,0.866028465,2021,0.444357246,0.884993476
5/11/2021,5381.79,0.912109192,0.866028465,2021,0.779402766,0.911468565
5/12/2021,6468.53,0.949863801,0.866028465,2021,0.973614316,0.911468565
5/13/2021,9282.98,0.977274902,0.866028465,2021,0.97662784,0.911468565
5/14/2021,15689.36,0.994044003,0.866028465,2021,0.787851543,0.911468565
5/15/2021,22818.71,0.999988498,0.866028465,2021,0.444357246,0.911468565
5/16/2021,5992.10,0.995043654,0.866028465,2021,0.013600234,0.911468565
5/18/2021,6421.24,0.95281933,0.866028465,2021,0.779402766,0.934623881
5/19/2021,3652.36,0.915999649,0.866028465,2021,0.973614316,0.934623881
5/20/2021,5276.86,0.869205224,0.866028465,2021,0.97662784,0.934623881
5/21/2021,8031.82,0.81294562,0.866028465,2021,0.787851543,0.934623881
5/22/2021,8007.90,0.747833474,0.866028465,2021,0.444357246,0.934623881
5/25/2021,3385.11,0.506906852,0.866028465,2021,0.779402766,0.954375088
5/26/2021,4132.35,0.414317381,0.866028465,2021,0.973614316,0.954375088
5/27/2021,2215.26,0.317216216,0.866028465,2021,0.97662784,0.954375088
5/28/2021,10857.90,0.216660737,0.866028465,2021,0.787851543,0.954375088
5/29/2021,8496.20,0.113745938,0.866028465,2021,0.444357246,0.954375088
6/1/2021,4986.74,0.104210454,1,2021,0.779402766,0.970650247
6/2/2021,3520.51,0.207286113,1,2021,0.973614316,0.970650247
6/3/2021,5850.75,0.308104537,1,2021,0.97662784,0.970650247
6/4/2021,9308.87,0.405567867,1,2021,0.787851543,0.970650247
