,Date,Revenue,Day of Week,Day of Month,Month,Year,1st Floor Sales,To Go Sales,Mezz Sales
199,11/27/2020,"2,341.31", Friday,27,11,20, 433.50, 707.00, 644.16
200,11/28/2020,"2,378.71", Saturday,28,11,20, 223.00, 275.00, 353.00
201,11/29/2020,"2,209.27", Sunday,29,11,20," 1,006.83", 379.50, 825.47
202,11/30/2020,"1,129.74", Monday,30,11,20, 473.50, 417.25, 734.75
203,12/1/2020,"3,360.86", Tuesday,1,12,20, 894.00, 504.50, 905.50
204,12/2/2020,"2,116.58", Wednesday,2,12,20," 1,832.60", 940.25," 1,825.50"
205,12/3/2020,"3,086.87", Thursday,3,12,20," 2,952.25", 37.00," 2,692.00"
206,12/4/2020,"7,675.41", Friday,4,12,20, 492.00, 988.25, 543.50
207,12/5/2020,"12,899.43", Saturday,5,12,20, 649.00, 488.50, 653.50
208,12/6/2020,"2,967.84", Sunday,6,12,20, 828.88, 664.50, 727.00
209,12/7/2020,"3,179.00", Monday,7,12,20, 520.00, 479.87, 766.00
210,12/8/2020,"3,979.26", Tuesday,8,12,20, 664.50, 635.00, 678.50
211,12/9/2020,"3,031.58", Wednesday,9,12,20," 2,332.50"," 1,138.25"," 1,307.50"
212,12/10/2020,"6,329.48", Thursday,10,12,20," 1,670.00", 848.50," 1,318.90"
213,12/11/2020,"9,430.99", Friday,11,12,20, 633.50, 864.00, 426.50
214,12/12/2020,"5,023.13", Saturday,12,12,20, 550.50, 316.50, 396.25
215,12/13/2020,"2,363.47", Sunday,13,12,20, 974.01, 662.25," 1,115.26"
216,12/14/2020,"1,587.70", Monday,14,12,20, 914.00, 575.00, 923.25
217,12/15/2020,"3,687.01", Tuesday,15,12,20, 832.28, 329.50, 916.00
218,12/16/2020,"3,133.62", Wednesday,16,12,20," 1,685.70"," 1,168.50"," 1,046.75"
219,12/17/2020,"3,198.73", Thursday,17,12,20," 1,057.00", 742.75," 1,672.25"
220,12/18/2020,"5,341.88", Friday,18,12,20, 510.50, 923.00, 234.51
221,12/19/2020,"4,506.37", Saturday,19,12,20, 171.25, 394.00, 294.00
222,12/20/2020,"2,504.54", Sunday,20,12,20, 822.74, 434.25, 771.83
223,12/21/2020,"1,088.01", Monday,21,12,20, 486.00, 438.25, 545.50
224,12/22/2020,"2,743.52", Tuesday,22,12,20, 754.25, 607.25, 776.75
225,12/23/2020,"1,829.49", Wednesday,23,12,20, 396.75, 737.75, 247.00
226,12/26/2020,"3,841.14", Saturday,26,12,20, 480.50, 392.00, 343.25
227,12/27/2020,"2,384.08", Sunday,27,12,20, 812.81, 308.00, 945.80
228,12/28/2020,"1,460.03", Monday,28,12,20, 579.00, 541.50, 349.50
229,12/29/2020,"2,764.03", Tuesday,29,12,20," 1,465.37", 744.50," 1,123.62"
230,12/30/2020,"4,885.94", Wednesday,30,12,20, 389.50, 805.50, 815.50
231,12/31/2020,"4,295.20", Thursday,31,12,20, 860.00, 650.87, 592.50
232,1/1/2021,"2,494.96", Friday,1,1,21, 605.00, 552.75, 126.50
233,1/2/2021,"2,645.18", Saturday,2,1,21, 232.75, 190.00, 247.17
234,1/3/2021,"1,574.39", Sunday,3,1,21, 383.94, 471.00, 909.71
235,1/4/2021,"1,038.62", Monday,4,1,21, 287.75, 277.00, 289.00
236,1/5/2021,"2,443.25", Tuesday,5,1,21, 677.75, 612.00, 357.00
237,1/6/2021,"1,046.37", Wednesday,6,1,21, 995.51," 1,229.25", 900.25
238,1/7/2021,"2,094.53", Thursday,7,1,21," 1,394.00", 736.00, 786.00
239,1/8/2021,"3,964.62", Friday,8,1,21, 781.75, 816.25," 1,031.00"
240,1/9/2021,"3,707.39", Saturday,9,1,21, 709.75, 272.50, 448.00
241,1/10/2021,"3,267.94", Sunday,10,1,21, 758.13, 268.50, 750.83
242,1/11/2021,"1,910.26", Monday,11,1,21,"ivery

 Total

 934.75", 191.00, 257.50
243,1/12/2021,"2,638.58", Tuesday,12,1,21,"ivery

 Total

 977.75", 439.00, 715.00
244,1/13/2021,"1,855.97", Wednesday,13,1,21,"ivery

 Total

 1,017.00", 834.00, 879.75
245,1/14/2021,"2,756.29", Thursday,14,1,21,"ivery

 Total

 2,003.75", 741.25," 1,509.75"
246,1/15/2021,"3,944.86", Friday,15,1,21,"ivery

 Total

 1,472.00", 877.75," 1,064.25"
247,1/16/2021,"6,019.84", Saturday,16,1,21,"Change Grand Ttl
Grand Total
Training Total

0
3

0.00",-12.00,-1.05
248,1/17/2021,"4,575.49", Sunday,17,1,21," 1,204.57", 478.25, 974.21
249,1/24/2021,0.00, Sunday,24,1,21,"ivery

 Total

 131.50", 416.00, 384.75
250,1/26/2021,0.00, Tuesday,26,1,21," 1,001.25", 702.50," 1,064.75"
