Date,Revenue,Day of Week,Day of Month,Month,Year,One_Day_Prior_Revenue,Two_Days_Prior_Revenue,Three_Days_Prior_Revenue,Four_Days_Prior_Revenue,Five_Days_Prior_Revenue,Six_Days_Prior_Revenue,Seven_Days_Prior_Revenue,Seven_Days_Prior_Summed_Revenue
9/12/2020,15595.87,Saturday,12,9,2020,9699.81,5275.46,1805.66,3820.82,3310.56,4811.89,8003.06,36727.26
9/13/2020,3320.57,Sunday,13,9,2020,15595.87,9699.81,5275.46,1805.66,3820.82,3310.56,4811.89,44320.07
9/14/2020,1937.83,Monday,14,9,2020,3320.57,15595.87,9699.81,5275.46,1805.66,3820.82,3310.56,42828.75
9/15/2020,5119.91,Tuesday,15,9,2020,1937.83,3320.57,15595.87,9699.81,5275.46,1805.66,3820.82,41456.02
9/16/2020,3919.66,Wednesday,16,9,2020,5119.91,1937.83,3320.57,15595.87,9699.81,5275.46,1805.66,42755.11
9/17/2020,4926.66,Thursday,17,9,2020,3919.66,5119.91,1937.83,3320.57,15595.87,9699.81,5275.46,44869.11
9/18/2020,9635.36,Friday,18,9,2020,4926.66,3919.66,5119.91,1937.83,3320.57,15595.87,9699.81,44520.31
9/19/2020,13377.69,Saturday,19,9,2020,9635.36,4926.66,3919.66,5119.91,1937.83,3320.57,15595.87,44455.86
9/20/2020,3843.93,Sunday,20,9,2020,13377.69,9635.36,4926.66,3919.66,5119.91,1937.83,3320.57,42237.68
9/21/2020,2232.71,Monday,21,9,2020,3843.93,13377.69,9635.36,4926.66,3919.66,5119.91,1937.83,42761.04
9/22/2020,4362.19,Tuesday,22,9,2020,2232.71,3843.93,13377.69,9635.36,4926.66,3919.66,5119.91,43055.92
9/23/2020,2674.18,Wednesday,23,9,2020,4362.19,2232.71,3843.93,13377.69,9635.36,4926.66,3919.66,42298.2
9/24/2020,8506.59,Thursday,24,9,2020,2674.18,4362.19,2232.71,3843.93,13377.69,9635.36,4926.66,41052.72
9/25/2020,16319.03,Friday,25,9,2020,8506.59,2674.18,4362.19,2232.71,3843.93,13377.69,9635.36,44632.65
9/26/2020,18481.23,Saturday,26,9,2020,16319.03,8506.59,2674.18,4362.19,2232.71,3843.93,13377.69,51316.32
9/27/2020,4191.46,Sunday,27,9,2020,18481.23,16319.03,8506.59,2674.18,4362.19,2232.71,3843.93,56419.86
9/28/2020,1743.5,Monday,28,9,2020,4191.46,18481.23,16319.03,8506.59,2674.18,4362.19,2232.71,56767.39
